FIRSTNAME,LASTNAME,EMAIL,PROGRAMME,COURSES
Natal,Hurler,nhurler0@hhs.gov,informaton Science,c#
Lelia,Haskins,lhaskins1@fotki.com,ComputerScience,java
Kamilah,Luckwell,kluckwell2@admin.ch,informaton Science,SCALA
Georgeta,Franzman,gfranzman3@globo.com,ComputerScience,c#
Carr,Bargh,cbargh4@sina.com.cn,ComputerScience,java
Townsend,Spaldin,tspaldin5@altervista.org,informaton Science,c#
Hildagarde,Vane,hvane6@google.cn,informaton Science,SCALA
Grace,McNalley,gmcnalley7@adobe.com,informaton Science,c#
Cory,Morad,cmorad8@archive.org,informaton Science,java
Torrence,Bosse,tbosse9@163.com,informaton Science,c#
Benny,Deny,bdenya@ucsd.edu,informaton Science,SCALA
Gwendolyn,Stradling,gstradlingb@instagram.com,ComputerScience,java
Kizzie,Chick,kchickc@salon.com,ComputerScience,java
Arnaldo,McMeyler,amcmeylerd@fda.gov,informaton Science,SCALA
Rebe,Boat,rboate@gizmodo.com,ComputerScience,SCALA
Cassy,Toke,ctokef@addtoany.com,ComputerScience,SCALA
Miguela,Brawley,mbrawleyg@nsw.gov.au,informaton Science,SCALA
Filippo,Reinhart,freinharth@constantcontact.com,informaton Science,SCALA
Malynda,Danton,mdantoni@google.nl,ComputerScience,SCALA
George,Smoth,gsmothj@netvibes.com,informaton Science,c#
Christel,Le Sieur,clesieurk@w3.org,informaton Science,java
Demetrius,Kermode,dkermodel@theglobeandmail.com,ComputerScience,SCALA
Kaitlin,Kahan,kkahanm@icio.us,informaton Science,java
Ashby,Relph,arelphn@cam.ac.uk,informaton Science,SCALA
Maryanne,Pillman,mpillmano@youtube.com,ComputerScience,SCALA
Lissy,Bodiam,lbodiamp@amazon.co.uk,ComputerScience,c#
Jojo,Watts,jwattsq@webnode.com,informaton Science,SCALA
Tirrell,Dunthorn,tdunthornr@pinterest.com,ComputerScience,java
Barbra,Poetz,bpoetzs@squidoo.com,ComputerScience,SCALA
Clea,Brookz,cbrookzt@stanford.edu,informaton Science,SCALA
Red,Carlino,rcarlinou@mit.edu,informaton Science,c#
Orlan,Townley,otownleyv@deliciousdays.com,ComputerScience,java
Farrah,Kennford,fkennfordw@hud.gov,informaton Science,SCALA
Royall,Matfield,rmatfieldx@macromedia.com,ComputerScience,java
Ardys,Upton,auptony@technorati.com,informaton Science,java
Markos,Zanassi,mzanassiz@networksolutions.com,informaton Science,java
Benedikt,Reinhart,breinhart10@blogspot.com,ComputerScience,c#
Tamiko,Dabes,tdabes11@timesonline.co.uk,informaton Science,c#
Abramo,Foan,afoan12@nydailynews.com,informaton Science,SCALA
Amelie,Duignan,aduignan13@sciencedirect.com,informaton Science,SCALA
Kay,Twentyman,ktwentyman14@furl.net,informaton Science,SCALA
Fergus,Twelvetree,ftwelvetree15@com.com,informaton Science,c#
Geralda,McReynold,gmcreynold16@statcounter.com,informaton Science,SCALA
Rancell,Roxburch,rroxburch17@w3.org,informaton Science,c#
Charissa,Spur,cspur18@mapquest.com,informaton Science,c#
Walther,Gorgler,wgorgler19@economist.com,informaton Science,SCALA
Larry,Gabbidon,lgabbidon1a@google.es,informaton Science,java
Rudolph,Ridehalgh,rridehalgh1b@ucoz.com,informaton Science,SCALA
Archibald,MacEntee,amacentee1c@marketwatch.com,ComputerScience,c#
Sile,Franciottoi,sfranciottoi1d@abc.net.au,informaton Science,SCALA
